Date : 2019-11-19 02:27:14
Directory : /Users/flatironschool/Development/code/mod5project/bugtracker
Total : 109 files,  16337 codes, 699 comments, 654 blanks, all 17690 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/flatironschool/Development/code/mod5project/bugtracker/front/src/components/Navbar.js                              | JavaScript |         32 |          0 |         12 |         44 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/front/src/components/NewBug.js                              | JavaScript |         31 |          0 |         11 |         42 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/front/src/components/NewProject.js                          | JavaScript |         27 |          0 |         13 |         40 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/front/src/components/PriorityDropdown.js                    | JavaScript |         37 |          7 |          5 |         49 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/front/src/components/Project.js                             | JavaScript |         66 |        135 |         15 |        216 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/front/src/components/ProjectContainer.js                    | JavaScript |        350 |          1 |         21 |        372 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/front/src/components/ProjectList.js                         | JavaScript |         52 |          6 |          5 |         63 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/front/src/components/ProjectSearch.js                       | JavaScript |         18 |          1 |          5 |         24 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/front/src/components/Row.js                                 | JavaScript |         36 |          0 |          3 |         39 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/front/src/components/Search.js                              | JavaScript |         19 |          0 |          5 |         24 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/front/src/components/SignUp.js                              | JavaScript |         88 |         18 |         22 |        128 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/front/src/components/StatusDropdown.js                      | JavaScript |         47 |          9 |          5 |         61 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/front/src/components/TabBar.js                              | JavaScript |         41 |          0 |          3 |         44 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/front/src/components/TabItem.js                             | JavaScript |          9 |          0 |          2 |         11 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/front/src/css/App.css                                       | CSS        |         15 |          0 |          4 |         19 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/front/src/css/BugContainer.css                              | CSS        |          3 |          2 |          0 |          5 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/front/src/css/LoginForm.css                                 | CSS        |          0 |          8 |          2 |         10 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/front/src/css/Project.css                                   | CSS        |         25 |          7 |          5 |         37 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/front/src/css/TabBar.css                                    | CSS        |          5 |          6 |          1 |         12 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/front/src/css/index.css                                     | CSS        |          5 |         13 |          1 |         19 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/front/src/index.js                                          | JavaScript |          8 |          3 |          3 |         14 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/front/src/logo.svg                                          | XML        |          1 |          0 |          0 |          1 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/front/src/serviceWorker.js                                  | JavaScript |         92 |         31 |         13 |        136 |
| Total                                                                                                                     |            |     16,337 |        699 |        654 |     17,690 |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
